id,title,authors,url
54054,Statistical Frameworks for Uncertainty in Agentic Systems,Aymeric Dieuleveut; Mahmoud Hegazy,https://icml.cc/virtual/2026/poster/54054
54055,WiML Symposium at ICML 2026,Irene Ballester Campos; Mandana Samiei,https://icml.cc/virtual/2026/poster/54055
54056,The 6th Muslims in ML (MusIML) Workshop,Ehsaneddin Asgari; Shaokai Yang,https://icml.cc/virtual/2026/poster/54056
54057,Graph Foundation Models: A New Era for Graph Machine Learning,Charilaos Kanatsoulis; Xingyue Huang,https://icml.cc/virtual/2026/poster/54057
54058,"From Frames to Stories (F2S): Toward Reliable, Controllable and Trustworthy Long-Horizon Video Generation",Yu Lu; Junhao Dong; Enis Simsar; Hila Chefer; Ismini Lourentzou; Piotr Koniusz; Yi Yang,https://icml.cc/virtual/2026/poster/54058
54059,Combining Theory and Benchmarks: Towards A Virtuous Cycle to Understand and Guarantee Foundation Model Performance,Brian Hu; Nathaniel Bottman; Yaoqing Yang; Yujun Yan; Guido Montufar; Jaejin Lee,https://icml.cc/virtual/2026/poster/54059
54060,Philosophy Meets Machine Learning: What Counts as Trustworthy?,Junhyung Park; Fanny Yang,https://icml.cc/virtual/2026/poster/54060
54061,Efficient Multimodal Question Answering,Jordan L Boyd-Graber; Martin Fajčík,https://icml.cc/virtual/2026/poster/54061
54062,Decision-Making from Offline Datasets to Online Adaptation: Black-Box Optimization to Reinforcement Learning,Aryan Deshwal; Jana Doppa,https://icml.cc/virtual/2026/poster/54062
54063,3rd  Workshop on Multi-modal Foundation Models and Large Language Models  for Life Sciences,Pengtao Xie; Han Guo,https://icml.cc/virtual/2026/poster/54063
54064,Second Pluralistic Alignment Workshop,JinYeong Bak; Yohan Jo; Ruyuan Wan; Liwei Jiang; Maarten Sap; Dongyeop Kang; Taylor Sorensen; Kshitish Ghate; Amy Zhang,https://icml.cc/virtual/2026/poster/54064
54065,AI for Law Workshop,Yu Fan; Yang Tian,https://icml.cc/virtual/2026/poster/54065
54066,Foundation Models for Structured Data (FMSD @ ICML 2026),Nick Erickson; Xiyuan Zhang,https://icml.cc/virtual/2026/poster/54066
54067,RLxF: RL from World Feedback,Shao-Hua Sun; Xingyou Song,https://icml.cc/virtual/2026/poster/54067
54068,New Frontiers in Game-Theoretic Learning,Nicolò Cesa-Bianchi; Tatjana Chavdarova; Michael Jordan; Celestine Mendler-Dünner; Rene Vidal; Emmanouil-Vasileios Vlatakis-Gkaragkounis,https://icml.cc/virtual/2026/poster/54068
54069,AI4Physics: An ICML 2026 Workshop on AI for Physics,John Sous; Arman Cohan,https://icml.cc/virtual/2026/poster/54069
54070,Game Theory in Nature: From Optimality to Equilibrium,Matthieu Geist; Mathieu Lauriere,https://icml.cc/virtual/2026/poster/54070
54071,Workshop on Mechanistic Interpretability,Andrew Lee; Ivan Arcuschin Moreno,https://icml.cc/virtual/2026/poster/54071
54072,"AI as a Tool for Mathematics, Computer Science, and Machine Learning",Dmitriy Drusvyatskiy; Mikhail Belkin,https://icml.cc/virtual/2026/poster/54072
54073,The future of AI for biology at the intersection of generative and agentic AI,Wengong Jin; Lei Li,https://icml.cc/virtual/2026/poster/54073
54074,Deep Learning for Code: Towards Human-Centered Coding Agents,Terry Yue Zhuo; Zijian Wang,https://icml.cc/virtual/2026/poster/54074
54075,The 2nd Workshop on Epistemic Intelligence in Machine Learning: Learning under Unknown Unknowns for Real-world Impact,Siu Lun Chau; Shireen Kudukkil Manchingal,https://icml.cc/virtual/2026/poster/54075
54076,The 2nd Workshop on Connecting Low-rank Representations in AI: From Practice to Theory,Grigorios Chrysos; Antonio Vergari,https://icml.cc/virtual/2026/poster/54076
54077,High Dimensional Learning Dynamics: the Science of Scaling,Elliot Paquette; Inbar Seroussi,https://icml.cc/virtual/2026/poster/54077
54078,SCALE: SCALABLE LEARNING AND OPTIMIZATION FOR EFFICIENT MULTIMODAL AI AGENTS,Souvik Kundu; Digbalay Bose; Sayan Nag; Jaehong Yoon; Manling Li; Hongyi Wang; Lanqing Guo; Sanjoy Chowdhury,https://icml.cc/virtual/2026/poster/54078
54079,Continual Adaptation at Scale: Towards Sustainable AI,Ghada Sokar; Gintare Karolina Dziugaite,https://icml.cc/virtual/2026/poster/54079
54080,Workshop on Weight-Space Symmetries: from Foundations to Practical Applications,Yani Ioannou; Boris Knyazev; Ekaterina Lobacheva; Mohammed Adnan; Antonio Orvieto; Alexander Theus,https://icml.cc/virtual/2026/poster/54080
54082,"The Second Workshop on Agents in the Wild: Safety, Security, and Beyond",Chenguang Wang; Xinyun Chen; Wenbo Guo; Yizhou Sun; Kyle Montgomery; Yiyou Sun; Jianhong Tu; Zhun Wang,https://icml.cc/virtual/2026/poster/54082
54083,"Workshop on Human-AI Co-Creativity: Advances, Opportunities, and Challenges",Adish Singla; Abhilasha Ravichander; Liwei Jiang; Alexander Spangher; Alice Oh,https://icml.cc/virtual/2026/poster/54083
54084,Second Workshop on Technical AI Governance Research,Lisa Soder; Kevin Wei,https://icml.cc/virtual/2026/poster/54084
54085,Culture x AI: Evaluating AI as a Cultural Technology,Cody Kommers; Drew Hemment,https://icml.cc/virtual/2026/poster/54085
54086,The Second Workshop on the Impact of Memorization on Trustworthy Foundation Models,Dominik Hintersdorf; Adam Dziedzic; Franziska Boenisch; Niloofar Mireshghallah,https://icml.cc/virtual/2026/poster/54086
54087,Learning to Listen: ICML 2026 Workshop on Machine Learning for Audio,Rachel Manzelli; Brian Kulis,https://icml.cc/virtual/2026/poster/54087
54088,"Foundations of Deep Generative Models: Understanding Memorization, Generalization, and Reasoning",Qing Qu; Peng Wang,https://icml.cc/virtual/2026/poster/54088
54089,4th Structured Probabilistic Inference & Generative Modeling,Jiajun He; Luhuan Wu,https://icml.cc/virtual/2026/poster/54089
54090,Structured Data for Health,Hyewon Jeong; Maxwell Xu,https://icml.cc/virtual/2026/poster/54090
54091,Forecasting as a New Frontier of Intelligence,Haifeng Xu; Jibang Wu,https://icml.cc/virtual/2026/poster/54091
