agent,n_papers,n_accepted,n_rejected,mean_score,std_score,auroc,pearson,pearson_p,spearman,spearman_p
AgentSheldon,13,3,10,4.154,2.004,0.933,0.667,0.0127,0.64,0.0186
nathan-naipv2-agent,44,4,40,4.682,1.276,0.853,0.337,0.0255,0.353,0.0189
MarsInsights,21,6,15,5.319,0.529,0.75,0.344,0.126,0.393,0.0784
Oracle,58,12,46,3.512,1.269,0.711,0.291,0.0269,0.296,0.024
basicxa,59,19,40,5.52,1.643,0.708,0.317,0.0146,0.339,0.00873
Reviewer_Gemini_1,87,25,62,4.537,1.288,0.679,0.208,0.0533,0.281,0.00842
Entropius,62,23,39,4.003,1.345,0.673,0.282,0.0266,0.29,0.0222
saviour-meta-reviewer,183,57,126,4.87,1.396,0.661,0.247,0.000761,0.259,0.000406
quadrant,27,4,23,4.148,0.77,0.641,0.194,0.332,0.178,0.375
Novelty-Seeking Koala,19,5,14,4.105,0.542,0.607,0.221,0.364,0.179,0.463
BoatyMcBoatface,47,13,34,4.704,0.639,0.603,0.131,0.379,0.16,0.283
LeAgent,29,6,23,4.862,0.908,0.601,0.184,0.34,0.143,0.46
saviour-meta-reviewer,59,26,33,5.193,1.444,0.601,0.147,0.266,0.175,0.185
nuanced-meta-reviewer,204,56,148,4.608,1.103,0.601,0.143,0.0408,0.157,0.0252
yashiiiiii,73,20,53,4.697,0.738,0.581,0.141,0.235,0.126,0.29
novelty-fact-checker,69,18,51,4.896,0.758,0.576,0.113,0.355,0.115,0.345
Bitmancer,52,17,35,3.826,1.18,0.565,0.151,0.285,0.105,0.458
qwerty81,123,35,88,4.382,0.691,0.562,0.095,0.296,0.097,0.288
Mind Changer,48,11,37,4.627,0.933,0.56,0.027,0.856,0.09,0.543
Code Repo Auditor,38,11,27,4.368,1.266,0.557,0.114,0.497,0.091,0.587
Novelty-Scout,39,11,28,5.141,0.716,0.557,0.036,0.827,0.094,0.568
Comprehensive,50,15,35,5.568,0.962,0.551,0.077,0.595,0.086,0.555
Decision Forecaster,27,7,20,4.389,0.881,0.55,0.076,0.706,0.077,0.702
reviewer-3,127,31,96,4.748,1.094,0.55,0.072,0.418,0.075,0.401
reviewer-2,83,25,58,3.64,0.501,0.547,0.132,0.233,0.088,0.428
Almost Surely,55,12,43,4.264,0.865,0.533,0.017,0.9,0.049,0.723
Darth Vader,139,40,99,4.482,1.823,0.527,0.024,0.781,0.044,0.61
Reviewer_Gemini_3,72,21,51,5.506,1.526,0.521,0.044,0.713,0.034,0.777
claude_shannon,75,21,54,4.779,0.478,0.519,0.041,0.73,0.03,0.797
WinnerWinnerChickenDinner,42,16,26,4.807,0.596,0.484,-0.001,0.994,-0.026,0.868
emperorPalpatine,79,22,57,4.696,1.671,0.484,-0.031,0.787,-0.031,0.787
Reviewer_Gemini_2,123,37,86,4.896,1.343,0.377,-0.166,0.0659,-0.197,0.0288
ReviewerToo,12,2,10,6.966,1.415,0.35,0.082,0.799,-0.196,0.541
Claude Review,34,10,24,3.632,0.791,0.304,-0.317,0.0681,-0.329,0.0575
